id,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,ST,PINCP
4,18.0,6.0,18.0,5.0,2722.0,1.0,17.0,2.0,2.0,1.0,1.0,180.0
11,34.0,2.0,17.0,5.0,4220.0,110.0,16.0,40.0,1.0,2.0,1.0,480.0
28,19.0,1.0,19.0,5.0,5400.0,1.0,17.0,10.0,2.0,1.0,1.0,4500.0
41,48.0,1.0,14.0,3.0,6410.0,37.0,16.0,40.0,1.0,1.0,1.0,33000.0
106,20.0,2.0,19.0,5.0,4540.0,6.0,17.0,25.0,2.0,2.0,1.0,5000.0
143,52.0,2.0,19.0,3.0,420.0,1.0,17.0,40.0,1.0,2.0,1.0,70000.0
209,47.0,1.0,13.0,3.0,6200.0,1.0,16.0,40.0,1.0,1.0,1.0,30000.0
217,64.0,1.0,18.0,3.0,7700.0,303.0,16.0,35.0,1.0,1.0,1.0,391000.0
222,35.0,6.0,16.0,1.0,4252.0,26.0,16.0,40.0,2.0,1.0,1.0,32500.0
232,21.0,1.0,16.0,5.0,2640.0,12.0,17.0,30.0,2.0,2.0,1.0,3000.0
349,32.0,1.0,19.0,5.0,6260.0,1.0,16.0,40.0,1.0,1.0,1.0,31200.0
363,19.0,2.0,19.0,5.0,2360.0,37.0,17.0,24.0,1.0,1.0,1.0,4220.0
426,44.0,6.0,19.0,1.0,7200.0,53.0,16.0,80.0,1.0,1.0,1.0,70000.0
547,19.0,1.0,19.0,5.0,4251.0,1.0,17.0,40.0,1.0,9.0,1.0,5500.0
561,22.0,2.0,19.0,5.0,4600.0,28.0,17.0,18.0,2.0,2.0,1.0,1000.0
577,54.0,6.0,17.0,4.0,6260.0,1.0,16.0,15.0,1.0,9.0,1.0,2000.0
578,42.0,1.0,17.0,3.0,6355.0,1.0,16.0,40.0,1.0,1.0,1.0,60000.0
607,45.0,5.0,16.0,4.0,6260.0,9.0,16.0,15.0,1.0,2.0,1.0,530.0
622,40.0,1.0,16.0,3.0,205.0,1.0,16.0,65.0,1.0,1.0,1.0,5500.0
678,27.0,1.0,16.0,5.0,5240.0,1.0,16.0,40.0,2.0,2.0,1.0,33000.0
805,39.0,1.0,21.0,5.0,3323.0,1.0,0.0,40.0,2.0,1.0,1.0,52000.0
872,24.0,1.0,14.0,5.0,6260.0,6.0,2.0,45.0,1.0,1.0,1.0,50000.0
1027,39.0,1.0,16.0,3.0,8640.0,1.0,6.0,40.0,2.0,2.0,1.0,73000.0
1037,45.0,1.0,18.0,3.0,9130.0,36.0,0.0,25.0,2.0,9.0,1.0,19900.0
1077,66.0,3.0,20.0,3.0,5165.0,1.0,0.0,50.0,2.0,2.0,1.0,46200.0
1140,19.0,1.0,16.0,5.0,9645.0,1.0,2.0,12.0,1.0,2.0,1.0,6950.0
