id,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,ST,PINCP
15761,49.0,2.0,16.0,1.0,2545.0,51.0,0.0,50.0,1.0,3.0,1.0,55000.0
24301,39.0,1.0,16.0,4.0,4760.0,46.0,0.0,40.0,2.0,3.0,2.0,16000.0
28082,57.0,5.0,19.0,5.0,5860.0,4.0,0.0,40.0,2.0,3.0,4.0,48000.0
28175,45.0,1.0,19.0,3.0,4020.0,4.0,10.0,40.0,1.0,3.0,4.0,24000.0
28946,60.0,1.0,16.0,5.0,4010.0,6.0,0.0,35.0,2.0,3.0,4.0,18000.0
30331,52.0,3.0,21.0,1.0,3870.0,4.0,0.0,45.0,2.0,3.0,4.0,53000.0
31480,47.0,3.0,16.0,5.0,440.0,4.0,0.0,40.0,2.0,3.0,4.0,50000.0
31481,18.0,3.0,16.0,5.0,4720.0,4.0,2.0,15.0,2.0,3.0,4.0,4900.0
32450,28.0,1.0,16.0,5.0,8140.0,4.0,2.0,50.0,1.0,3.0,4.0,100000.0
33769,50.0,5.0,16.0,1.0,4230.0,4.0,0.0,40.0,2.0,3.0,4.0,19000.0
33816,50.0,1.0,16.0,3.0,9110.0,4.0,0.0,40.0,2.0,3.0,4.0,12000.0
34324,40.0,6.0,19.0,5.0,6330.0,4.0,2.0,40.0,1.0,3.0,4.0,20000.0
35505,47.0,1.0,12.0,1.0,7200.0,303.0,1.0,40.0,1.0,3.0,4.0,18000.0
35730,50.0,5.0,16.0,5.0,3930.0,4.0,5.0,40.0,1.0,3.0,4.0,58800.0
37240,57.0,5.0,22.0,1.0,2330.0,4.0,1.0,40.0,2.0,3.0,4.0,19000.0
37932,47.0,3.0,16.0,1.0,4220.0,4.0,0.0,32.0,1.0,3.0,4.0,14100.0
38237,54.0,6.0,18.0,1.0,4920.0,6.0,0.0,40.0,2.0,3.0,4.0,80000.0
38605,59.0,1.0,19.0,2.0,7720.0,4.0,0.0,40.0,2.0,3.0,4.0,2800.0
39226,31.0,1.0,19.0,5.0,3940.0,35.0,0.0,40.0,2.0,3.0,4.0,5600.0
39565,40.0,5.0,19.0,1.0,5000.0,4.0,0.0,40.0,2.0,3.0,4.0,60000.0
39648,36.0,1.0,21.0,1.0,630.0,4.0,1.0,40.0,2.0,3.0,4.0,39500.0
39821,59.0,1.0,16.0,3.0,4720.0,4.0,0.0,40.0,2.0,3.0,4.0,25000.0
39854,63.0,5.0,15.0,1.0,5020.0,4.0,0.0,40.0,2.0,3.0,4.0,24600.0
40128,21.0,1.0,19.0,5.0,310.0,4.0,5.0,40.0,1.0,3.0,4.0,25000.0
40762,27.0,1.0,16.0,5.0,8140.0,4.0,2.0,40.0,1.0,3.0,4.0,30000.0
41216,19.0,1.0,14.0,5.0,4720.0,35.0,2.0,20.0,1.0,3.0,4.0,7000.0
42081,34.0,1.0,20.0,5.0,6355.0,4.0,0.0,40.0,1.0,3.0,4.0,60000.0
43113,22.0,1.0,16.0,5.0,6120.0,4.0,2.0,40.0,1.0,3.0,4.0,35000.0
43333,53.0,5.0,19.0,1.0,4020.0,4.0,0.0,40.0,1.0,3.0,4.0,35000.0
43719,23.0,1.0,19.0,5.0,3602.0,4.0,2.0,30.0,2.0,3.0,4.0,9000.0
44039,39.0,3.0,19.0,5.0,5940.0,4.0,2.0,40.0,2.0,3.0,4.0,38000.0
44404,62.0,3.0,21.0,1.0,9122.0,4.0,0.0,30.0,1.0,3.0,4.0,36000.0
45554,32.0,5.0,16.0,1.0,3602.0,4.0,0.0,40.0,2.0,3.0,4.0,15200.0
47154,52.0,1.0,18.0,5.0,4330.0,4.0,0.0,40.0,1.0,3.0,4.0,36000.0
47271,21.0,1.0,16.0,5.0,3401.0,4.0,2.0,40.0,1.0,3.0,4.0,48000.0
47826,57.0,1.0,19.0,5.0,940.0,4.0,0.0,20.0,2.0,3.0,4.0,4400.0
49167,61.0,5.0,19.0,1.0,5740.0,4.0,0.0,40.0,2.0,3.0,4.0,54000.0
