,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,ST,PINCP
0,43.0,1.0,14.0,1.0,6791.0,2.0,1.0,73.0,2.0,9.0,446415.0
1,75.0,7.0,19.0,1.0,6111.0,24.0,6.0,40.0,2.0,9.0,112776.0
2,22.0,1.0,16.0,5.0,5017.0,48.0,0.0,77.0,1.0,48.0,26438.0
3,47.0,3.0,18.0,1.0,6505.0,52.0,1.0,41.0,1.0,41.0,10831.0
4,63.0,1.0,19.0,4.0,6291.0,24.0,1.0,41.0,2.0,27.0,68114.0
5,29.0,7.0,22.0,3.0,1239.0,11.0,0.0,48.0,2.0,18.0,145353.0
6,34.0,1.0,16.0,2.0,3302.0,64.0,1.0,33.0,1.0,23.0,67719.0
7,63.0,3.0,21.0,5.0,4975.0,41.0,2.0,43.0,1.0,22.0,400.0
8,40.0,6.0,18.0,3.0,589.0,39.0,0.0,77.0,1.0,12.0,400.0
9,21.0,1.0,22.0,3.0,4641.0,53.0,0.0,76.0,1.0,13.0,12952.0
10,48.0,3.0,17.0,1.0,9191.0,17.0,2.0,63.0,2.0,24.0,104572.0
11,35.0,1.0,18.0,5.0,5506.0,58.0,1.0,43.0,1.0,2.0,22835.0
12,35.0,3.0,23.0,1.0,4126.0,41.0,8.0,51.0,1.0,52.0,27225.0
13,25.0,3.0,22.0,5.0,3060.0,2.0,0.0,69.0,2.0,2.0,10546.0
14,25.0,1.0,20.0,2.0,2223.0,41.0,0.0,78.0,2.0,33.0,33458.0
15,41.0,5.0,19.0,5.0,3484.0,57.0,1.0,40.0,2.0,25.0,151550.0
16,42.0,6.0,17.0,1.0,5024.0,27.0,2.0,42.0,2.0,33.0,400.0
17,63.0,7.0,23.0,5.0,6632.0,58.0,0.0,41.0,1.0,2.0,123368.0
18,73.0,1.0,19.0,3.0,3895.0,44.0,1.0,49.0,1.0,33.0,142944.0
19,32.0,1.0,20.0,4.0,5989.0,46.0,1.0,55.0,1.0,31.0,7489.0
20,32.0,2.0,16.0,5.0,4856.0,44.0,1.0,57.0,2.0,38.0,31717.0
21,70.0,1.0,22.0,1.0,7157.0,54.0,15.0,23.0,2.0,12.0,43834.0
22,41.0,5.0,20.0,5.0,4483.0,19.0,1.0,65.0,2.0,25.0,400.0
23,35.0,2.0,23.0,1.0,6089.0,41.0,0.0,41.0,2.0,46.0,400.0
24,39.0,5.0,20.0,5.0,7033.0,46.0,0.0,74.0,1.0,2.0,91950.0
25,39.0,1.0,18.0,1.0,2227.0,28.0,0.0,43.0,1.0,17.0,33604.0
26,26.0,1.0,19.0,3.0,3371.0,56.0,2.0,39.0,1.0,25.0,65929.0
27,61.0,1.0,16.0,5.0,5829.0,56.0,15.0,32.0,2.0,8.0,74141.0
28,71.0,1.0,23.0,5.0,2388.0,58.0,1.0,68.0,2.0,33.0,24785.0
29,21.0,5.0,19.0,1.0,2346.0,54.0,1.0,77.0,1.0,28.0,10250.0
30,36.0,1.0,18.0,1.0,5726.0,63.0,3.0,42.0,2.0,12.0,310192.0
31,41.0,1.0,16.0,1.0,2358.0,45.0,4.0,53.0,2.0,13.0,6132.0
32,64.0,1.0,20.0,5.0,10.0,69.0,17.0,36.0,1.0,36.0,76294.0
33,59.0,5.0,23.0,2.0,8153.0,21.0,1.0,42.0,2.0,2.0,24485.0
34,50.0,1.0,19.0,5.0,7538.0,50.0,0.0,56.0,2.0,22.0,121190.0
35,40.0,5.0,17.0,5.0,4834.0,13.0,0.0,81.0,1.0,14.0,72449.0
36,63.0,5.0,22.0,3.0,7517.0,48.0,0.0,54.0,2.0,29.0,84096.0
37,75.0,6.0,16.0,1.0,5090.0,58.0,2.0,29.0,1.0,14.0,58523.0
38,53.0,1.0,21.0,1.0,7090.0,2.0,2.0,42.0,1.0,29.0,27163.0
39,32.0,5.0,15.0,5.0,5821.0,37.0,1.0,39.0,1.0,23.0,139227.0
40,25.0,3.0,20.0,1.0,5325.0,44.0,1.0,48.0,1.0,15.0,27156.0
41,24.0,6.0,17.0,3.0,3713.0,47.0,1.0,61.0,2.0,35.0,36992.0
42,28.0,6.0,17.0,1.0,7373.0,39.0,0.0,50.0,2.0,13.0,336517.0
43,41.0,1.0,20.0,5.0,5561.0,30.0,1.0,43.0,2.0,41.0,66025.0
44,40.0,1.0,20.0,1.0,5170.0,57.0,0.0,76.0,1.0,7.0,39708.0
45,67.0,1.0,20.0,5.0,3599.0,14.0,0.0,40.0,2.0,23.0,45926.0
46,55.0,7.0,22.0,3.0,7576.0,365.0,4.0,68.0,1.0,15.0,84587.0
47,32.0,1.0,16.0,2.0,329.0,30.0,2.0,68.0,2.0,10.0,31513.0
48,37.0,1.0,22.0,5.0,5979.0,52.0,2.0,26.0,2.0,18.0,68639.0
49,58.0,3.0,21.0,1.0,6418.0,12.0,0.0,66.0,2.0,15.0,62825.0
50,31.0,4.0,16.0,3.0,3411.0,52.0,6.0,63.0,2.0,9.0,68305.0
51,57.0,1.0,19.0,3.0,6178.0,23.0,5.0,73.0,1.0,35.0,28982.0
52,37.0,7.0,19.0,3.0,10.0,43.0,2.0,72.0,2.0,16.0,50890.0
53,43.0,5.0,16.0,2.0,5186.0,36.0,1.0,48.0,1.0,29.0,45611.0
54,47.0,5.0,21.0,5.0,6589.0,310.0,1.0,69.0,1.0,26.0,31780.0
55,29.0,1.0,20.0,4.0,3143.0,39.0,0.0,63.0,1.0,51.0,65852.0
56,27.0,1.0,19.0,5.0,1572.0,47.0,2.0,42.0,1.0,5.0,26284.0
57,75.0,1.0,22.0,1.0,5284.0,52.0,0.0,43.0,1.0,24.0,11644.0
58,75.0,7.0,21.0,2.0,2481.0,59.0,0.0,42.0,1.0,15.0,44383.0
59,32.0,5.0,19.0,1.0,6372.0,43.0,0.0,20.0,1.0,39.0,53206.0
60,34.0,1.0,21.0,4.0,3764.0,30.0,0.0,82.0,2.0,24.0,42974.0
61,75.0,1.0,20.0,1.0,4056.0,56.0,0.0,62.0,1.0,16.0,400.0
62,37.0,1.0,19.0,1.0,7540.0,46.0,4.0,42.0,1.0,26.0,400.0
63,31.0,3.0,24.0,1.0,2482.0,20.0,1.0,84.0,2.0,27.0,16381.0
64,38.0,1.0,21.0,3.0,4614.0,42.0,0.0,77.0,2.0,27.0,65143.0
65,53.0,3.0,18.0,3.0,5560.0,62.0,0.0,70.0,1.0,16.0,137424.0
66,71.0,1.0,19.0,1.0,2421.0,51.0,0.0,48.0,2.0,55.0,498000.0
67,33.0,3.0,17.0,1.0,5409.0,25.0,1.0,30.0,1.0,33.0,4387.0
68,75.0,1.0,16.0,5.0,6010.0,226.0,2.0,71.0,2.0,14.0,72007.0
69,35.0,6.0,21.0,5.0,3438.0,24.0,1.0,39.0,2.0,22.0,73839.0
70,43.0,1.0,17.0,3.0,6570.0,40.0,0.0,41.0,2.0,2.0,113086.0
71,43.0,3.0,16.0,1.0,7086.0,42.0,0.0,84.0,1.0,9.0,57397.0
72,47.0,1.0,21.0,5.0,5462.0,19.0,0.0,78.0,2.0,17.0,84570.0
73,65.0,7.0,16.0,1.0,3414.0,59.0,1.0,84.0,1.0,15.0,105406.0
74,21.0,4.0,23.0,1.0,2929.0,10.0,0.0,43.0,1.0,43.0,49303.0
75,29.0,1.0,17.0,5.0,3142.0,37.0,1.0,42.0,1.0,24.0,15875.0
76,50.0,1.0,19.0,1.0,4774.0,71.0,1.0,72.0,2.0,15.0,22488.0
77,39.0,5.0,20.0,1.0,7763.0,51.0,17.0,37.0,2.0,32.0,42457.0
78,35.0,6.0,18.0,3.0,2882.0,36.0,0.0,12.0,2.0,48.0,18751.0
79,39.0,1.0,18.0,1.0,2494.0,64.0,0.0,61.0,1.0,34.0,20440.0
80,53.0,1.0,16.0,3.0,3374.0,56.0,0.0,64.0,2.0,12.0,183980.0
81,62.0,7.0,18.0,5.0,3254.0,50.0,4.0,42.0,1.0,7.0,72013.0
82,65.0,5.0,18.0,1.0,2214.0,49.0,0.0,71.0,1.0,2.0,40051.0
83,75.0,1.0,18.0,5.0,6996.0,37.0,0.0,72.0,2.0,20.0,47092.0
84,64.0,1.0,18.0,1.0,3169.0,7.0,0.0,64.0,1.0,2.0,12390.0
85,64.0,1.0,12.0,1.0,10.0,47.0,2.0,45.0,2.0,21.0,22234.0
86,54.0,4.0,18.0,1.0,3306.0,10.0,0.0,41.0,1.0,39.0,23995.0
87,35.0,1.0,16.0,2.0,7423.0,25.0,1.0,24.0,2.0,2.0,44319.0
88,59.0,7.0,20.0,1.0,6017.0,38.0,0.0,61.0,2.0,38.0,149576.0
89,75.0,3.0,17.0,2.0,4635.0,23.0,0.0,20.0,1.0,4.0,28922.0
90,18.0,4.0,16.0,5.0,5929.0,31.0,1.0,42.0,2.0,19.0,71649.0
91,65.0,1.0,22.0,3.0,3753.0,31.0,0.0,84.0,2.0,2.0,71943.0
92,51.0,1.0,17.0,1.0,2149.0,65.0,0.0,41.0,1.0,15.0,67167.0
93,45.0,7.0,17.0,1.0,7006.0,40.0,2.0,47.0,2.0,31.0,4238.0
94,53.0,1.0,23.0,2.0,3807.0,38.0,17.0,43.0,1.0,19.0,50715.0
95,54.0,7.0,17.0,4.0,5304.0,62.0,1.0,84.0,2.0,8.0,13265.0
96,53.0,1.0,17.0,1.0,7246.0,31.0,0.0,61.0,2.0,14.0,184019.0
97,42.0,1.0,24.0,1.0,7032.0,67.0,12.0,74.0,1.0,25.0,37582.0
98,63.0,3.0,22.0,5.0,6707.0,22.0,0.0,42.0,1.0,2.0,57381.0
99,70.0,3.0,17.0,3.0,3329.0,51.0,0.0,72.0,1.0,41.0,24195.0
100,44.0,1.0,20.0,1.0,6846.0,60.0,2.0,84.0,1.0,2.0,25602.0
101,52.0,1.0,18.0,5.0,3593.0,43.0,0.0,61.0,2.0,14.0,36189.0
102,31.0,4.0,13.0,4.0,7921.0,46.0,0.0,55.0,2.0,32.0,171045.0
103,39.0,5.0,22.0,5.0,6529.0,56.0,1.0,43.0,1.0,32.0,45400.0
104,29.0,1.0,16.0,1.0,5926.0,55.0,0.0,41.0,1.0,31.0,21641.0
105,48.0,1.0,18.0,3.0,9810.0,39.0,1.0,38.0,2.0,16.0,11707.0
106,65.0,5.0,15.0,1.0,1485.0,8.0,2.0,40.0,2.0,34.0,45418.0
107,67.0,4.0,21.0,3.0,3450.0,41.0,13.0,52.0,1.0,15.0,22999.0
108,75.0,1.0,16.0,3.0,5349.0,48.0,0.0,43.0,2.0,13.0,400.0
109,33.0,4.0,20.0,4.0,4269.0,60.0,9.0,64.0,1.0,25.0,64504.0
110,52.0,3.0,23.0,1.0,5672.0,64.0,7.0,73.0,2.0,2.0,400.0
111,50.0,1.0,18.0,5.0,5744.0,10.0,1.0,39.0,2.0,18.0,41625.0
112,49.0,5.0,20.0,5.0,6816.0,47.0,17.0,47.0,2.0,33.0,18987.0
113,70.0,1.0,18.0,2.0,2225.0,32.0,2.0,41.0,1.0,25.0,36412.0
114,24.0,3.0,18.0,3.0,3052.0,41.0,1.0,84.0,1.0,2.0,46032.0
115,69.0,1.0,21.0,1.0,10.0,61.0,2.0,57.0,2.0,12.0,67400.0
116,24.0,1.0,16.0,5.0,4797.0,42.0,0.0,61.0,1.0,21.0,498000.0
117,56.0,1.0,16.0,3.0,10.0,65.0,0.0,73.0,1.0,2.0,22489.0
118,42.0,4.0,17.0,1.0,6385.0,51.0,11.0,52.0,1.0,6.0,61934.0
119,43.0,5.0,16.0,3.0,4802.0,54.0,1.0,42.0,2.0,52.0,62219.0
120,63.0,3.0,17.0,5.0,5324.0,12.0,17.0,58.0,1.0,12.0,42068.0
