AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,ST,PINCP
29.0,1.0,21.0,5.0,5240.0,6.0,0.0,60.0,1.0,3.0,6.0,85700.0
50.0,1.0,19.0,5.0,5840.0,6.0,0.0,40.0,2.0,3.0,48.0,27700.0
40.0,6.0,19.0,5.0,6330.0,4.0,2.0,40.0,1.0,3.0,4.0,20000.0
48.0,3.0,22.0,1.0,10.0,38.0,0.0,40.0,1.0,3.0,38.0,268000.0
28.0,1.0,17.0,5.0,6260.0,6.0,16.0,40.0,1.0,3.0,6.0,2500.0
29.0,1.0,21.0,5.0,5240.0,6.0,0.0,60.0,1.0,3.0,6.0,85700.0
47.0,1.0,12.0,1.0,7200.0,303.0,1.0,40.0,1.0,3.0,4.0,18000.0
20.0,1.0,16.0,5.0,9365.0,40.0,2.0,32.0,1.0,3.0,40.0,7970.0
29.0,1.0,16.0,1.0,5240.0,31.0,0.0,40.0,2.0,3.0,31.0,17000.0
60.0,1.0,20.0,3.0,4720.0,40.0,0.0,30.0,2.0,3.0,40.0,1500.0
41.0,2.0,13.0,1.0,3255.0,36.0,0.0,40.0,2.0,3.0,36.0,125000.0
39.0,1.0,14.0,1.0,6230.0,365.0,15.0,40.0,1.0,3.0,36.0,35000.0
24.0,1.0,19.0,5.0,9645.0,6.0,2.0,40.0,2.0,3.0,48.0,16200.0
60.0,1.0,24.0,1.0,2100.0,20.0,0.0,40.0,2.0,3.0,12.0,31500.0
56.0,1.0,18.0,1.0,5020.0,40.0,1.0,40.0,1.0,3.0,40.0,57000.0
44.0,1.0,18.0,1.0,6200.0,40.0,0.0,50.0,1.0,3.0,40.0,97500.0
32.0,4.0,22.0,5.0,5360.0,48.0,4.0,40.0,2.0,3.0,15.0,46000.0
17.0,1.0,14.0,5.0,4020.0,20.0,2.0,24.0,1.0,3.0,20.0,3000.0
59.0,1.0,16.0,3.0,4720.0,4.0,0.0,40.0,2.0,3.0,4.0,25000.0
35.0,3.0,19.0,1.0,10.0,4.0,0.0,40.0,1.0,3.0,4.0,75000.0
55.0,5.0,22.0,3.0,2330.0,35.0,0.0,40.0,2.0,3.0,35.0,56000.0
30.0,1.0,16.0,5.0,205.0,27.0,2.0,45.0,1.0,3.0,27.0,12000.0
19.0,1.0,19.0,5.0,4020.0,49.0,2.0,40.0,2.0,3.0,49.0,40000.0
32.0,3.0,22.0,1.0,6720.0,53.0,1.0,40.0,1.0,3.0,53.0,40000.0
24.0,1.0,19.0,5.0,4020.0,303.0,2.0,16.0,1.0,3.0,6.0,9000.0
51.0,3.0,22.0,5.0,750.0,20.0,0.0,45.0,1.0,3.0,20.0,105000.0
60.0,1.0,16.0,3.0,3601.0,40.0,0.0,9.0,2.0,3.0,40.0,22000.0
64.0,5.0,20.0,3.0,5720.0,35.0,0.0,40.0,2.0,3.0,46.0,66000.0
39.0,1.0,14.0,1.0,6230.0,365.0,15.0,40.0,1.0,3.0,36.0,35000.0
65.0,7.0,21.0,1.0,5860.0,37.0,1.0,20.0,2.0,3.0,37.0,31400.0
28.0,1.0,17.0,5.0,6260.0,6.0,16.0,40.0,1.0,3.0,6.0,2500.0
46.0,1.0,16.0,1.0,1530.0,40.0,0.0,50.0,1.0,3.0,40.0,141000.0
36.0,1.0,12.0,5.0,3602.0,35.0,0.0,10.0,1.0,3.0,35.0,1000.0
31.0,7.0,21.0,5.0,4230.0,303.0,13.0,40.0,2.0,3.0,32.0,38400.0
49.0,6.0,20.0,3.0,5920.0,12.0,12.0,15.0,2.0,3.0,51.0,52500.0
27.0,3.0,16.0,1.0,1910.0,32.0,0.0,40.0,1.0,3.0,32.0,22000.0
57.0,5.0,19.0,5.0,5860.0,4.0,0.0,40.0,2.0,3.0,4.0,48000.0
45.0,1.0,17.0,3.0,6410.0,53.0,15.0,40.0,1.0,3.0,53.0,80330.0
21.0,1.0,16.0,5.0,3401.0,4.0,2.0,40.0,1.0,3.0,4.0,48000.0
72.0,6.0,20.0,1.0,710.0,9.0,1.0,10.0,2.0,3.0,51.0,23500.0
34.0,1.0,18.0,5.0,3930.0,28.0,15.0,40.0,1.0,3.0,28.0,11300.0
40.0,5.0,19.0,1.0,5000.0,4.0,0.0,40.0,2.0,3.0,4.0,60000.0
29.0,1.0,17.0,5.0,5165.0,4.0,2.0,40.0,1.0,3.0,53.0,40000.0
65.0,1.0,19.0,2.0,410.0,17.0,0.0,40.0,2.0,3.0,6.0,4000.0
35.0,1.0,17.0,5.0,4220.0,53.0,2.0,40.0,1.0,3.0,53.0,3500.0
41.0,4.0,21.0,1.0,2722.0,40.0,1.0,60.0,1.0,3.0,49.0,155000.0
47.0,1.0,16.0,5.0,9640.0,53.0,2.0,40.0,1.0,3.0,55.0,29450.0
33.0,1.0,11.0,1.0,4700.0,40.0,1.0,65.0,2.0,3.0,40.0,45000.0
57.0,1.0,19.0,2.0,9240.0,4.0,0.0,40.0,1.0,3.0,35.0,75000.0
39.0,1.0,16.0,4.0,4760.0,46.0,0.0,40.0,2.0,3.0,2.0,16000.0
20.0,1.0,16.0,5.0,9365.0,40.0,2.0,32.0,1.0,3.0,40.0,7970.0
60.0,5.0,16.0,1.0,5110.0,35.0,1.0,40.0,2.0,3.0,35.0,52000.0
32.0,3.0,22.0,1.0,6720.0,53.0,1.0,40.0,1.0,3.0,53.0,40000.0
33.0,1.0,16.0,5.0,3401.0,46.0,0.0,1.0,1.0,3.0,46.0,26000.0
32.0,2.0,16.0,5.0,2014.0,6.0,0.0,35.0,2.0,3.0,6.0,68400.0
47.0,1.0,20.0,3.0,2555.0,46.0,0.0,40.0,1.0,3.0,46.0,30000.0
27.0,3.0,16.0,1.0,1910.0,32.0,0.0,40.0,1.0,3.0,32.0,22000.0
33.0,1.0,19.0,1.0,2002.0,48.0,1.0,40.0,1.0,3.0,48.0,58300.0
60.0,5.0,16.0,1.0,5110.0,35.0,1.0,40.0,2.0,3.0,35.0,52000.0
19.0,1.0,19.0,5.0,4020.0,49.0,2.0,40.0,2.0,3.0,49.0,40000.0
21.0,1.0,13.0,5.0,310.0,53.0,16.0,45.0,2.0,3.0,53.0,18300.0
28.0,3.0,16.0,5.0,2545.0,35.0,2.0,40.0,1.0,3.0,35.0,18000.0
52.0,1.0,16.0,5.0,8750.0,35.0,0.0,40.0,2.0,3.0,35.0,17000.0
42.0,1.0,20.0,1.0,8810.0,40.0,1.0,40.0,1.0,3.0,40.0,68500.0
27.0,1.0,18.0,5.0,5940.0,40.0,0.0,40.0,2.0,3.0,40.0,28800.0
60.0,3.0,16.0,1.0,8140.0,30.0,0.0,40.0,1.0,3.0,30.0,22000.0
30.0,1.0,16.0,3.0,6200.0,39.0,10.0,20.0,1.0,3.0,40.0,8000.0
60.0,1.0,17.0,3.0,8225.0,55.0,0.0,40.0,1.0,3.0,55.0,30000.0
22.0,1.0,16.0,5.0,4020.0,35.0,0.0,40.0,1.0,3.0,35.0,20000.0
72.0,6.0,20.0,1.0,710.0,9.0,1.0,10.0,2.0,3.0,51.0,23500.0
63.0,1.0,19.0,1.0,9005.0,2.0,0.0,60.0,1.0,3.0,53.0,94000.0
35.0,3.0,22.0,5.0,2360.0,9.0,0.0,44.0,2.0,3.0,9.0,54000.0
61.0,2.0,19.0,4.0,6230.0,19.0,0.0,1.0,1.0,3.0,5.0,14300.0
21.0,1.0,13.0,5.0,310.0,53.0,16.0,45.0,2.0,3.0,53.0,18300.0
51.0,1.0,16.0,5.0,9130.0,37.0,0.0,40.0,1.0,3.0,37.0,18000.0
65.0,7.0,21.0,1.0,5860.0,37.0,1.0,20.0,2.0,3.0,37.0,31400.0
