AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,ST,PINCP
34.0,5.0,18.0,1.0,1767.0,7.0,0.0,38.0,2.0,3.0,2.0,125043.0
47.0,3.0,19.0,5.0,1678.0,12.0,0.0,33.0,1.0,3.0,50.0,50972.0
72.0,7.0,22.0,5.0,3871.0,26.0,0.0,37.0,2.0,3.0,28.0,120110.0
35.0,6.0,15.0,1.0,8105.0,66.0,15.0,54.0,1.0,3.0,32.0,26113.0
32.0,3.0,14.0,1.0,5080.0,9.0,0.0,27.0,1.0,3.0,37.0,40580.0
61.0,1.0,12.0,5.0,7784.0,4.0,0.0,35.0,2.0,3.0,16.0,8289.0
41.0,1.0,19.0,5.0,5315.0,60.0,9.0,36.0,2.0,3.0,25.0,1168.0
28.0,1.0,14.0,5.0,8308.0,49.0,12.0,26.0,2.0,3.0,15.0,27670.0
40.0,1.0,18.0,1.0,5019.0,100.0,0.0,29.0,2.0,3.0,40.0,12568.0
38.0,6.0,20.0,3.0,51.0,5.0,0.0,27.0,2.0,3.0,21.0,697.0
23.0,2.0,22.0,1.0,618.0,165.0,0.0,45.0,2.0,3.0,29.0,52919.0
40.0,1.0,20.0,2.0,3925.0,6.0,16.0,25.0,1.0,3.0,34.0,7809.0
20.0,1.0,20.0,5.0,7562.0,4.0,0.0,59.0,1.0,3.0,27.0,76727.0
26.0,6.0,21.0,5.0,5834.0,153.0,0.0,19.0,2.0,3.0,51.0,3596.0
59.0,1.0,14.0,1.0,7711.0,8.0,0.0,26.0,2.0,3.0,19.0,33725.0
71.0,3.0,22.0,4.0,3023.0,5.0,0.0,72.0,1.0,3.0,12.0,129224.0
36.0,1.0,19.0,1.0,9774.0,25.0,8.0,35.0,2.0,3.0,56.0,1651.0
63.0,6.0,13.0,1.0,6246.0,17.0,0.0,37.0,2.0,3.0,10.0,141064.0
53.0,1.0,17.0,3.0,3057.0,7.0,0.0,47.0,2.0,3.0,53.0,21502.0
43.0,2.0,20.0,1.0,6943.0,6.0,0.0,31.0,1.0,3.0,33.0,11217.0
28.0,1.0,21.0,4.0,3185.0,45.0,0.0,24.0,2.0,3.0,13.0,7663.0
46.0,3.0,19.0,5.0,1423.0,7.0,6.0,42.0,2.0,3.0,29.0,105765.0
53.0,4.0,22.0,1.0,7921.0,11.0,0.0,34.0,1.0,3.0,8.0,78464.0
59.0,6.0,18.0,5.0,5692.0,6.0,0.0,53.0,1.0,3.0,48.0,19057.0
50.0,3.0,19.0,4.0,4176.0,4.0,0.0,50.0,1.0,3.0,14.0,54185.0
53.0,1.0,20.0,1.0,353.0,77.0,0.0,31.0,2.0,3.0,35.0,37848.0
53.0,3.0,15.0,1.0,7982.0,97.0,0.0,49.0,1.0,3.0,33.0,12062.0
20.0,2.0,14.0,1.0,8232.0,58.0,7.0,61.0,1.0,3.0,44.0,16533.0
29.0,3.0,18.0,5.0,4997.0,6.0,4.0,39.0,1.0,3.0,3.0,2922.0
48.0,1.0,8.0,5.0,4522.0,15.0,0.0,33.0,2.0,3.0,26.0,11960.0
27.0,5.0,17.0,5.0,8097.0,6.0,2.0,42.0,1.0,3.0,3.0,14161.0
49.0,3.0,14.0,3.0,9597.0,100.0,0.0,46.0,1.0,3.0,44.0,18560.0
60.0,1.0,18.0,1.0,2228.0,11.0,3.0,39.0,1.0,3.0,28.0,45014.0
46.0,1.0,21.0,1.0,115.0,11.0,0.0,45.0,2.0,3.0,6.0,118799.0
70.0,1.0,16.0,5.0,2548.0,7.0,0.0,31.0,2.0,3.0,11.0,6556.0
48.0,1.0,19.0,3.0,239.0,63.0,16.0,26.0,1.0,3.0,56.0,35733.0
67.0,5.0,17.0,1.0,174.0,9.0,0.0,62.0,1.0,3.0,11.0,220394.0
28.0,1.0,17.0,1.0,2798.0,239.0,3.0,23.0,1.0,3.0,56.0,44837.0
66.0,5.0,20.0,1.0,9792.0,7.0,13.0,52.0,2.0,3.0,56.0,82949.0
19.0,1.0,18.0,4.0,2072.0,79.0,7.0,31.0,2.0,3.0,14.0,35556.0
39.0,1.0,18.0,3.0,3448.0,244.0,0.0,22.0,1.0,3.0,37.0,8265.0
68.0,1.0,20.0,5.0,3434.0,103.0,0.0,38.0,2.0,3.0,46.0,47406.0
29.0,1.0,15.0,1.0,9253.0,4.0,17.0,35.0,1.0,3.0,24.0,8166.0
