id,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,ST,PINCP
374,45,1,16,1,2520,34,0,40,1,3,15,32000
375,32,2,18,2,4730,12,0,45,2,3,8,38000
376,29,3,19,3,5310,21,10,50,2,3,33,60000
377,41,1,16,5,4010,51,0,40,1,3,22,25000
378,50,2,17,4,2620,44,12,35,1,3,7,45000
379,38,4,18,3,4230,23,0,42,2,3,11,47000
380,36,5,20,1,3110,38,0,50,1,3,9,52000
381,28,3,14,1,3750,19,0,40,2,3,4,34000
382,47,2,16,2,2145,27,0,50,1,3,2,58000
383,34,1,16,1,2545,30,0,38,2,3,5,36000
384,51,1,16,3,3200,15,0,40,1,3,3,42000
385,42,2,19,4,2905,20,0,36,2,3,10,33000
386,27,3,14,1,4670,35,0,40,2,3,12,37000
387,55,1,20,5,5010,9,10,45,1,3,29,49000
388,44,2,17,2,3155,50,0,42,2,3,14,38000
389,40,4,18,4,2340,37,0,48,1,3,1,46000
390,53,1,16,1,2750,45,0,50,2,3,6,57000
391,35,3,19,3,3895,18,0,40,1,3,20,40000
392,31,2,16,4,3520,22,0,45,2,3,8,30000
393,46,5,17,5,2410,49,12,35,1,3,13,41000
394,33,1,16,1,2740,41,0,42,2,3,7,45000
395,54,2,20,2,3105,26,0,50,1,3,19,60000
396,39,4,18,4,2910,28,0,48,2,3,15,43000
397,28,3,14,1,4675,16,0,40,1,3,18,35000
398,52,1,16,1,2320,34,0,40,2,3,2,37000
399,41,2,17,2,3905,17,0,50,1,3,4,48000
400,30,5,20,3,2650,44,0,40,1,3,21,51000
401,49,1,18,5,3020,15,10,35,2,3,9,42000
402,37,2,19,1,2890,24,0,40,2,3,6,44000
403,26,3,14,4,4210,32,0,45,1,3,8,28000
404,48,1,17,1,2780,51,0,50,2,3,11,47000
405,36,2,16,2,2750,30,0,40,1,3,12,39000
406,44,1,18,3,3910,43,0,45,2,3,5,52000
407,50,5,19,4,4020,20,12,35,1,3,16,46000
408,34,3,14,1,4640,38,0,50,2,3,10,34000
409,42,2,16,1,2455,27,0,40,1,3,4,38000
410,53,1,17,5,3520,25,10,45,2,3,3,53000
411,29,2,19,3,2670,14,0,50,1,3,1,44000
412,47,1,16,2,3045,48,0,40,2,3,7,35000
413,33,2,17,1,3240,36,0,40,1,3,5,30000
414,51,3,18,4,3750,22,12,45,2,3,20,47000
415,38,1,16,2,2675,10,0,42,1,3,12,39000
416,31,2,19,3,4215,29,0,40,2,3,11,35000
417,46,1,18,1,2755,31,0,45,1,3,6,51000
418,55,3,14,5,2540,47,0,40,2,3,13,33000
419,40,1,17,4,2900,18,10,50,1,3,8,42000
420,27,2,16,1,4675,12,0,42,2,3,9,38000
421,49,1,20,2,3105,26,0,50,1,3,19,50000
422,35,2,17,1,3875,19,0,40,2,3,7,30000
423,30,1,14,4,4670,14,0,45,1,3,5,35000
424,54,5,18,1,3140,50,0,40,2,3,20,47000
425,38,2,16,2,2630,31,0,50,1,3,2,44000
426,45,1,19,1,3755,45,0,40,2,3,4,38000
427,53,3,14,5,2905,21,10,35,1,3,9,43000
428,31,1,17,3,4010,17,0,40,2,3,11,47000
429,42,2,16,4,2510,32,0,50,1,3,15,39000
430,28,1,18,2,2545,38,0,40,2,3,5,34000
431,39,2,17,1,2415,40,0,45,1,3,6,31000
432,50,1,20,3,3010,27,0,50,2,3,10,56000
433,36,2,16,2,2620,35,0,40,1,3,7,35000
434,44,1,18,4,2920,18,0,42,2,3,12,48000
435,51,3,14,5,3100,30,12,35,1,3,9,41000
436,28,1,16,1,4210,24,0,40,2,3,14,32000
437,48,2,17,2,2545,50,0,50,1,3,4,47000
438,34,1,19,3,3915,22,0,40,2,3,5,38000
439,41,2,16,4,3750,10,0,45,1,3,8,43000
440,30,5,18,1,2540,14,0,50,2,3,3,45000
441,53,1,16,1,2725,31,10,40,1,3,7,38000
442,35,2,20,2,3105,45,0,35,2,3,2,51000
443,47,1,17,3,3015,38,0,42,1,3,10,44000
444,32,2,16,1,2750,20,0,40,2,3,5,39000
445,29,3,18,4,4230,29,0,50,1,3,9,52000
446,46,1,16,1,3520,12,0,40,2,3,6,37000
447,50,2,19,2,2340,25,0,45,1,3,3,45000
448,38,1,14,3,4010,41,0,40,2,3,12,39000
449,27,2,17,1,4215,30,0,42,1,3,11,31000
450,55,1,16,1,2905,17,10,50,2,3,15,53000
451,33,2,17,3,2545,23,0,40,1,3,8,35000
452,40,1,19,2,3750,32,0,45,2,3,13,42000
453,37,2,18,4,4010,19,0,50,1,3,5,46000
454,28,1,16,1,2740,28,0,40,2,3,9,33000
455,45,2,17,3,2320,35,0,42,1,3,7,37000
456,39,1,14,1,3120,21,0,40,2,3,6,34000
457,42,3,16,4,3015,50,0,50,1,3,2,46000
458,54,1,18,2,3105,30,10,45,2,3,11,51000
459,31,2,19,1,4010,17,0,40,1,3,4,38000
460,50,1,16,3,2345,22,0,42,2,3,8,42000
461,48,2,17,2,3520,18,0,50,1,3,6,45000
462,35,1,16,1,2340,40,0,40,2,3,9,39000
463,41,2,19,3,4010,24,0,45,1,3,10,48000
464,36,3,14,1,2545,29,0,50,2,3,12,31000
465,32,1,16,1,3015,31,0,40,1,3,5,36000
466,54,2,17,4,4210,17,0,42,2,3,8,43000
467,27,1,16,1,4215,35,0,40,1,3,3,29000
468,45,3,19,2,2540,50,0,50,2,3,11,46000
469,30,1,16,1,3720,22,0,40,1,3,7,31000
470,55,2,17,5,2320,14,10,42,2,3,6,53000
471,50,1,14,1,2545,19,0,40,1,3,8,37000
472,39,2,16,3,3010,21,0,50,2,3,2,44000
473,28,1,16,1,4015,45,0,40,1,3,9,34000
474,34,3,17,2,3520,32,0,42,2,3,10,41000
475,53,1,18,4,4210,27,0,40,1,3,4,46000
476,37,2,16,1,4010,30,0,45,2,3,11,40000
477,42,1,14,3,2545,10,0,50,1,3,5,38000
