id,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,ST,PINCP
37301,30,1,16,1,2530,51,0,40,1,3,1,15000
37302,40,2,18,2,3000,46,1,45,2,3,2,20000
37303,35,3,16,3,4500,44,0,50,1,3,3,25000
37304,28,1,14,1,2500,38,2,30,2,3,4,12000
37305,50,4,20,4,6000,50,0,35,1,3,5,55000
37306,60,1,16,5,4010,6,0,35,2,3,4,18000
37307,45,2,19,3,4020,4,10,40,1,3,4,24000
37308,39,1,16,4,4760,46,0,40,2,3,2,16000
37309,55,5,19,5,5860,4,0,40,2,3,4,48000
37310,49,2,16,1,2545,51,0,50,1,3,1,55000
37311,33,3,17,2,4500,43,1,45,1,3,2,22000
37312,42,4,18,2,5000,48,0,38,2,3,3,30000
37313,27,1,15,1,2300,36,0,30,1,3,4,14000
37314,38,2,16,3,3100,47,1,50,2,3,1,21000
37315,48,3,19,3,5500,49,0,35,1,3,5,60000
37316,53,1,16,5,4020,8,0,40,2,3,4,26000
37317,40,2,17,2,4700,45,1,40,2,3,2,18000
37318,37,3,18,3,4800,44,0,45,1,3,3,27000
37319,28,1,16,1,2400,38,0,35,2,3,1,15000
37320,50,4,20,4,5700,50,0,50,1,3,5,65000
37321,29,1,14,1,2200,39,2,30,1,3,2,13000
37322,41,3,17,3,4500,46,1,40,2,3,4,19000
37323,46,1,16,3,4000,5,0,35,1,3,3,25000
37324,55,5,19,5,5900,4,0,40,2,3,4,49000
37325,32,2,15,2,4300,42,1,45,1,3,1,16000
37326,34,2,16,3,4700,44,0,50,2,3,2,20000
37327,47,3,18,3,5000,49,1,38,1,3,5,58000
37328,44,1,16,5,3900,8,0,40,2,3,4,24000
37329,39,3,17,3,4400,46,1,45,2,3,3,21000
37330,52,4,20,4,5800,50,0,50,1,3,5,62000
37331,25,1,15,1,2100,35,2,30,1,3,2,12000
37332,36,2,16,3,4600,43,0,35,2,3,1,17000
37333,42,3,18,2,4900,47,1,40,1,3,3,29000
37334,30,2,15,2,3000,41,0,50,2,3,2,14000
37335,48,4,19,3,5500,49,0,35,1,3,4,60000
37336,33,1,16,1,2200,39,1,40,1,3,2,13000
37337,45,3,17,3,4000,44,0,45,2,3,3,20000
37338,50,4,18,4,5700,48,1,38,1,3,5,64000
37339,40,1,16,2,4700,46,0,30,2,3,1,21000
37340,37,2,17,2,3100,45,1,50,2,3,3,16000
37341,46,3,19,3,4800,47,0,40,1,3,4,27000
37342,29,1,16,1,2400,38,1,45,1,3,1,15000
37343,53,5,20,5,5900,50,0,50,2,3,4,48000
37344,31,2,15,2,4300,42,1,30,1,3,2,14000
37345,34,1,16,3,4700,44,0,40,2,3,3,18000
37346,47,3,18,3,5500,48,1,45,1,3,5,59000
37347,39,2,16,3,4000,46,0,38,2,3,4,19000
37348,25,1,15,1,2100,35,2,30,1,3,1,12000
37349,48,3,19,3,5500,50,0,35,1,3,4,60000
37350,32,2,16,2,4300,44,1,40,2,3,3,20000
37351,41,3,17,3,4400,46,1,50,2,3,2,21000
37352,36,2,16,2,4600,44,0,45,1,3,4,17000
37353,43,1,18,3,4900,47,1,40,2,3,1,29000
37354,28,1,15,1,2400,38,0,30,1,3,2,13000
37355,49,4,19,4,5700,49,0,50,1,3,3,65000
37356,32,2,15,2,3000,41,1,38,1,3,4,14000
37357,45,3,18,3,5000,48,0,45,2,3,2,60000
37358,37,1,16,1,2300,39,0,40,1,3,3,15000
37359,53,5,20,5,5900,50,1,50,2,3,4,49000
37360,39,2,17,2,4400,45,0,45,1,3,1,21000
37361,42,3,16,3,4800,47,1,30,2,3,2,16000
37362,29,1,14,1,2200,35,0,35,1,3,3,12000
37363,50,4,19,4,5500,49,1,45,1,3,4,60000
37364,36,2,17,2,4700,44,0,38,2,3,2,20000
37365,41,1,15,1,4300,42,1,30,1,3,3,13000
37366,28,1,14,1,2100,35,0,35,1,3,2,12000
37367,49,4,18,4,5700,50,1,40,1,3,3,65000
37368,33,2,16,2,3000,41,0,45,2,3,4,14000
37369,45,3,19,3,5000,49,1,50,1,3,2,60000
37370,39,1,16,1,2400,38,0,30,1,3,3,15000
37371,52,5,20,5,5800,50,1,35,2,3,4,62000
37372,37,2,17,2,4500,43,1,40,1,3,2,18000
37373,42,3,18,3,4900,47,0,45,2,3,1,29000
37374,30,1,15,1,2300,36,1,50,1,3,3,15000
37375,48,4,19,4,5600,49,0,40,1,3,4,62000
37376,36,2,17,2,4700,45,1,30,2,3,2,17000
37377,41,3,16,3,4400,46,0,45,1,3,3,20000
37378,29,1,14,1,2200,37,1,35,1,3,2,13000
37379,50,4,19,4,5700,48,0,40,2,3,3,65000
37380,34,2,15,2,3000,41,1,50,1,3,4,14000
37381,45,3,18,3,5000,49,0,45,2,3,2,60000
37382,39,1,16,1,2400,38,1,40,1,3,3,15000
37383,53,5,20,5,5900,50,0,50,2,3,4,49000
37384,37,2,17,2,4500,44,1,30,2,3,2,17000
37385,42,3,18,3,4800,47,0,45,1,3,1,29000
37386,28,1,14,1,2100,35,1,40,1,3,2,13000
37387,48,4,19,4,5500,49,0,35,2,3,3,60000
37388,32,2,15,2,3000,41,1,50,1,3,4,14000
37389,45,3,18,3,4700,46,0,30,1,3,2,60000
37390,39,1,16,1,2400,37,1,45,2,3,3,15000
37391,52,5,20,5,5800,50,0,40,1,3,4,62000
37392,36,2,17,2,4500,44,1,50,2,3,2,17000
37393,41,3,18,3,4900,47,0,35,1,3,1,29000
37394,30,1,14,1,2300,36,1,40,2,3,3,15000
37395,48,4,19,4,5700,49,0,45,1,3,4,62000
37396,34,2,15,2,3000,41,1,50,1,3,2,14000
37397,45,3,16,3,4700,46,0,35,2,3,3,20000
37398,29,1,14,1,2200,37,1,50,1,3,4,13000
37399,50,4,19,4,5500,48,0,40,2,3,2,65000
37400,32,2,15,2,3000,41,1,45,1,3,3,14000
