id,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,ST,PINCP
373560,27,2,16,3,6429,94,2,53,2,3,12,41652.84284996199
420442,36,6,17,4,2798,109,4,30,2,3,15,3351.51907645326
25834,26,3,21,7,3349,120,3,38,2,3,2,85142.75397113123
404353,36,0,19,4,11121,14,0,37,1,3,14,0.0
378027,40,1,15,2,6336,79,8,21,1,3,12,88887.34714981425
1634504,43,3,15,4,1917,169,7,25,3,3,56,0.0
1763555,46,5,23,0,3843,95,1,21,2,3,59,82594.12419007561
695947,54,1,17,4,4103,33,3,33,2,3,25,10257.42459223071
1682241,52,2,17,3,5056,13,3,20,1,3,55,16859.17756156454
-508565,78,5,13,2,2416,0,0,23,2,3,-17,39545.620564428595
450048,38,5,13,4,5879,66,0,38,2,3,16,0.0
895743,48,1,15,6,4093,3,3,41,1,3,32,50960.70312448877
519315,51,2,24,0,3808,-16,0,52,2,3,18,59073.22718491475
992035,55,1,16,3,7735,-32,1,38,1,3,34,109338.01490108708
21632,36,2,21,3,342,109,5,34,2,3,2,77862.58724515524
923443,31,5,24,2,2323,-56,0,22,2,3,33,44782.64397737954
1181966,34,0,16,6,5546,-17,11,48,2,3,41,0.0
576677,80,3,18,0,10504,-6,0,25,2,3,20,7042.57133589586
924334,52,5,19,-1,2085,9,0,53,1,3,33,136308.37060041964
965814,20,2,19,3,4200,94,10,35,1,3,33,96805.42262766432
886292,41,6,24,3,2467,32,4,46,2,3,32,110901.45721314581
964444,52,-3,17,3,3990,25,5,34,2,3,33,116330.24023850003
1302654,60,4,16,2,8154,119,6,40,1,3,47,11828.560039462896
394762,74,3,17,1,2912,73,0,38,2,3,15,67894.35821053259
1120470,50,6,21,4,4088,39,0,47,2,3,36,113540.29227058918
532942,52,3,19,2,4389,71,0,10,2,3,21,0.0
24565,62,4,20,-2,4374,32,2,50,2,3,1,56273.752703113016
536156,36,3,20,4,7326,-29,4,53,1,3,18,63707.40973572241
369947,36,3,20,5,3043,106,8,52,2,3,12,103919.6728546781
1020565,56,2,18,0,4751,99,0,37,2,3,34,35443.15306327758
1178580,60,3,19,3,800,6,0,18,2,3,38,12894.950854076204
704609,35,3,19,1,4924,47,0,34,2,3,25,46938.70444006027
529954,61,4,21,1,-1697,47,0,31,2,3,16,99973.25304615332
175802,37,1,16,3,7208,162,4,28,1,3,8,118519.2822651157
1450154,23,3,19,4,4090,58,0,41,1,3,50,58366.25178081413
978167,47,5,18,2,2850,22,3,25,1,3,33,0.0
1043542,51,1,21,1,2887,-26,0,31,3,3,35,11556.400721183927
753450,36,0,15,3,6358,49,2,48,1,3,26,69656.76473765822
481113,38,1,17,2,6232,-25,1,39,1,3,17,18612.11269727655
497224,64,4,20,2,4192,76,0,56,2,3,18,66166.09478020089
886728,49,2,17,2,4013,88,4,34,2,3,32,0.0
623963,46,0,21,2,7859,-81,0,35,2,3,23,54629.87063620015
516060,38,1,18,3,7667,90,2,33,1,3,18,15727.081546044006
935747,23,2,15,3,4417,48,8,45,1,3,30,123345.43216678224
1150986,48,4,17,3,6306,-17,2,46,1,3,39,77544.55551261996
576256,50,4,20,3,6273,-109,0,52,1,3,19,88032.42951846821
1529893,51,2,20,3,3321,119,0,23,1,3,51,25107.147690774374
300604,26,0,16,3,5222,27,2,41,1,3,10,0.0
941705,35,0,16,6,7247,32,0,40,2,3,32,0.0
737086,53,2,22,0,2021,10,6,24,1,3,25,47316.553423195706
1667833,36,-1,17,2,6141,-64,0,30,1,3,55,0.0
591242,44,0,22,4,5380,-27,0,33,1,3,25,0.0
1616549,60,5,21,0,5079,-50,0,59,1,3,54,109040.52099985063
547764,47,4,25,3,3391,104,4,34,2,3,17,73524.46980230807
862558,33,4,18,2,7630,184,2,18,1,3,30,8384.453304175462
1038079,48,4,15,1,-428,54,3,35,2,3,35,17277.58132811228
1437540,54,2,17,4,689,48,6,43,2,3,48,55673.76837612613
1658218,61,5,21,2,4926,-1,2,45,2,3,57,44220.80347695241
999045,27,1,20,5,10360,-26,7,53,0,3,34,44586.29059581417
1555105,52,5,17,1,2422,66,0,49,2,3,52,16537.469702282968
175230,35,5,15,5,-3493,15,5,41,2,3,6,46092.10054507975
633427,40,2,18,2,3752,65,5,34,1,3,21,51371.806004748505
1416495,42,-1,18,3,8668,167,4,19,1,3,49,0.0
2077216,20,3,22,2,3971,15,2,26,1,3,71,0.0
801518,40,2,18,4,6315,103,2,71,2,3,28,111787.47710823953
1262218,47,3,21,1,8048,47,1,31,2,3,41,6671.808500094739
762634,24,2,17,6,10566,-22,5,29,1,3,25,0.0
312454,54,-1,14,1,4069,19,0,49,1,3,12,20359.030598485362
370346,41,2,19,6,4868,74,2,54,2,3,13,14984.337804143252
1064214,63,3,16,1,3614,147,0,53,2,3,36,105348.13803375498
1275692,44,-1,17,5,2356,27,2,45,2,3,43,26952.816460146114
100707,34,3,21,5,3253,60,1,31,1,3,6,44740.42919041493
1168026,27,4,21,4,3194,85,0,39,1,3,41,45647.86836561261
156442,45,2,18,5,5200,33,0,34,2,3,6,0.0
-408011,61,1,20,2,3841,-162,0,31,2,3,-13,26612.470899437507
1267345,83,3,17,-1,4555,-3,0,48,2,3,45,0.0
394197,43,4,18,2,3267,32,0,20,2,3,14,52671.289838303324
1125476,38,0,14,4,6016,110,4,42,1,3,38,25063.910055285134
917645,47,-1,13,3,3232,123,4,35,1,3,33,56891.69127672699
500435,51,2,18,0,7129,66,0,35,1,3,19,31041.03881224218
610921,61,6,15,2,5172,-4,0,36,1,3,18,112956.7447701568
877917,50,5,17,2,4706,37,2,43,1,3,30,108890.17300244194
639227,23,2,16,5,4696,145,7,19,1,3,23,55263.621629785805
897348,29,2,15,3,3607,69,9,34,1,3,32,0.0
1199239,42,-1,17,5,9078,64,12,31,0,3,41,93629.39323033622
235338,50,3,25,1,3261,74,0,50,1,3,12,76503.49779476447
531645,51,3,18,4,4717,24,4,62,1,3,19,113754.43629900752
1350314,54,-1,16,0,4093,34,3,23,2,3,44,44234.780135806155
1021161,36,2,12,5,5610,83,10,44,1,3,36,64840.25899848915
-332526,42,3,15,5,6855,-37,3,57,1,3,-9,62428.91631536458
711272,40,5,21,5,423,50,0,48,1,3,25,143351.14458625094
1075895,73,4,23,1,6110,-29,0,36,3,3,36,72139.90791926862
749174,44,3,20,2,2479,27,6,45,2,3,28,50766.28851770474
1937138,48,3,23,5,5780,111,7,49,2,3,67,64858.57789206478
1344688,50,4,25,3,5612,10,1,61,2,3,44,56492.36942285804
1184428,53,1,17,2,6118,66,4,54,1,3,36,154819.22340542634
2115522,43,2,18,5,5430,12,6,16,1,3,71,0.0
2032581,48,1,18,3,3590,17,1,41,2,3,65,43052.4208799128
461617,32,0,13,3,10832,128,1,41,1,3,18,0.0
1260104,40,3,20,3,5934,-48,1,21,2,3,41,86653.18813932125
426103,30,3,18,5,4997,-18,0,43,0,3,13,103622.98546558325
893944,68,2,21,0,9771,29,0,36,1,3,33,39470.018054993685
237907,51,2,21,4,6780,-109,0,29,1,3,9,46215.06139336985
570637,52,4,17,2,6518,64,0,31,1,3,21,59679.66626624367
1864354,54,0,13,2,6117,75,4,36,1,3,63,59203.419730363414
94770,44,4,16,4,5172,63,9,47,2,3,5,39801.5860828525
1348464,82,2,16,2,5864,107,0,34,1,3,48,57779.723143279756
359624,46,1,17,3,1855,178,0,44,2,3,13,98759.06523383051
388328,40,2,17,4,3765,53,0,59,2,3,14,0.0
224564,43,1,17,0,5919,18,0,50,1,3,9,27199.08296350095
985557,42,3,14,2,2944,125,6,26,1,3,32,0.0
565328,21,2,20,4,5906,147,4,29,2,3,21,30972.383043032452
617324,15,-1,17,6,5887,135,3,1,3,3,21,0.0
406564,59,3,21,2,8030,26,8,21,1,3,17,153476.81865126436
2086930,44,-1,20,1,6158,96,0,26,2,3,68,82523.93517002207
590448,55,3,22,1,4711,-24,0,39,3,3,21,14402.549218917819
649525,42,2,15,3,4105,89,7,20,2,3,22,66254.52446410089
